final_run_training_loss,final_run_training_dice,final_run_validation_loss,final_run_validation_dice,epoch,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
0.8965374231338501,0.009762116707861423,0.9000512957572937,0.0,0,1757127221,,False,1,98484_00000,2025-09-05_22-53-41,35.57954978942871,35.57954978942871,4011614,c1110a-s15.ufhpc,10.13.171.245,35.57954978942871,1
0.8646227121353149,0.09437132626771927,0.898184061050415,0.003456854959949851,1,1757127246,,False,2,98484_00000,2025-09-05_22-54-06,23.75047755241394,59.33002734184265,4011614,c1110a-s15.ufhpc,10.13.171.245,59.33002734184265,2
0.8495861887931824,0.26453065872192383,0.8954319953918457,0.2952549457550049,2,1757127270,,False,3,98484_00000,2025-09-05_22-54-30,23.55730962753296,82.88733696937561,4011614,c1110a-s15.ufhpc,10.13.171.245,82.88733696937561,3
0.8340733647346497,0.27930748462677,0.89252769947052,0.35228201746940613,3,1757127296,,False,4,98484_00000,2025-09-05_22-54-56,25.937873363494873,108.82521033287048,4011614,c1110a-s15.ufhpc,10.13.171.245,108.82521033287048,4
0.8290325403213501,0.2869787812232971,0.8896503448486328,0.3126208186149597,4,1757127320,,False,5,98484_00000,2025-09-05_22-55-20,23.832181453704834,132.65739178657532,4011614,c1110a-s15.ufhpc,10.13.171.245,132.65739178657532,5
0.837881326675415,0.25966063141822815,0.8870375156402588,0.3265265226364136,5,1757127344,,False,6,98484_00000,2025-09-05_22-55-44,23.92117691040039,156.5785686969757,4011614,c1110a-s15.ufhpc,10.13.171.245,156.5785686969757,6
0.8155487775802612,0.2910708785057068,0.8806970119476318,0.35878613591194153,6,1757127368,,False,7,98484_00000,2025-09-05_22-56-08,24.62724781036377,181.20581650733948,4011614,c1110a-s15.ufhpc,10.13.171.245,181.20581650733948,7
0.8435471057891846,0.27308735251426697,0.8787208199501038,0.3471124470233917,7,1757127393,,False,8,98484_00000,2025-09-05_22-56-33,24.436342000961304,205.64215850830078,4011614,c1110a-s15.ufhpc,10.13.171.245,205.64215850830078,8
0.8260906934738159,0.2975365221500397,0.8766655921936035,0.3561975955963135,8,1757127417,,False,9,98484_00000,2025-09-05_22-56-57,24.40969944000244,230.05185794830322,4011614,c1110a-s15.ufhpc,10.13.171.245,230.05185794830322,9
0.8001781105995178,0.3291507065296173,0.8730462789535522,0.3866690993309021,9,1757127441,,False,10,98484_00000,2025-09-05_22-57-21,24.24709415435791,254.29895210266113,4011614,c1110a-s15.ufhpc,10.13.171.245,254.29895210266113,10
0.8420029282569885,0.32198137044906616,0.8733626008033752,0.3714190423488617,10,1757127466,,False,11,98484_00000,2025-09-05_22-57-46,24.703542470932007,279.00249457359314,4011614,c1110a-s15.ufhpc,10.13.171.245,279.00249457359314,11
0.8014718890190125,0.35320189595222473,0.8689109683036804,0.4013757109642029,11,1757127492,,False,12,98484_00000,2025-09-05_22-58-12,26.21873903274536,305.2212336063385,4011614,c1110a-s15.ufhpc,10.13.171.245,305.2212336063385,12
0.8103193044662476,0.32844942808151245,0.8688796758651733,0.3489387631416321,12,1757127517,,False,13,98484_00000,2025-09-05_22-58-37,24.240105390548706,329.4613389968872,4011614,c1110a-s15.ufhpc,10.13.171.245,329.4613389968872,13
0.8063083291053772,0.4326016902923584,0.8657063245773315,0.4295835793018341,13,1757127542,,False,14,98484_00000,2025-09-05_22-59-02,25.441669702529907,354.9030086994171,4011614,c1110a-s15.ufhpc,10.13.171.245,354.9030086994171,14
0.763867199420929,0.47260329127311707,0.8658810257911682,0.34068477153778076,14,1757127567,,False,15,98484_00000,2025-09-05_22-59-27,24.791590690612793,379.6945993900299,4011614,c1110a-s15.ufhpc,10.13.171.245,379.6945993900299,15
0.8126015067100525,0.4483637511730194,0.8647722601890564,0.33045780658721924,15,1757127593,,False,16,98484_00000,2025-09-05_22-59-53,26.08594846725464,405.78054785728455,4011614,c1110a-s15.ufhpc,10.13.171.245,405.78054785728455,16
0.800327718257904,0.4783257246017456,0.8621217608451843,0.29836487770080566,16,1757127619,,False,17,98484_00000,2025-09-05_23-00-19,26.266705989837646,432.0472538471222,4011614,c1110a-s15.ufhpc,10.13.171.245,432.0472538471222,17
0.7996872663497925,0.5221330523490906,0.8587645888328552,0.3307045102119446,17,1757127644,,False,18,98484_00000,2025-09-05_23-00-44,25.031883239746094,457.0791370868683,4011614,c1110a-s15.ufhpc,10.13.171.245,457.0791370868683,18
0.7837738394737244,0.5130117535591125,0.854765772819519,0.49867385625839233,18,1757127668,,False,19,98484_00000,2025-09-05_23-01-08,24.108054399490356,481.18719148635864,4011614,c1110a-s15.ufhpc,10.13.171.245,481.18719148635864,19
0.7690150737762451,0.5701340436935425,0.8504881262779236,0.5932688117027283,19,1757127693,,False,20,98484_00000,2025-09-05_23-01-33,24.705429315567017,505.89262080192566,4011614,c1110a-s15.ufhpc,10.13.171.245,505.89262080192566,20
0.7850231528282166,0.5787656903266907,0.8438414335250854,0.6826217174530029,20,1757127717,,False,21,98484_00000,2025-09-05_23-01-57,23.869727849960327,529.762348651886,4011614,c1110a-s15.ufhpc,10.13.171.245,529.762348651886,21
0.7983042597770691,0.5653209686279297,0.8378569483757019,0.7209987640380859,21,1757127742,,False,22,98484_00000,2025-09-05_23-02-22,25.11859154701233,554.8809401988983,4011614,c1110a-s15.ufhpc,10.13.171.245,554.8809401988983,22
